direction,rank,canvas_x,canvas_y,operator_local_x,operator_local_y,normalized_score,source_scope,unique_frames,raw_frames
s,1,37,33,-11.0,-15.0,1.0000,upper,36,36
s,2,58,31,10.0,-17.0,0.9460,upper,36,36
s,3,57,48,9.0,0.0,0.8883,upper,36,36
s,4,32,40,-16.0,-8.0,0.7694,upper,36,36
s,5,64,44,16.0,-4.0,0.7645,upper,36,36
s,6,38,47,-10.0,-1.0,0.6803,upper,36,36
se,1,34,32,-14.0,-16.0,1.0000,upper,48,49
se,2,30,39,-18.0,-9.0,0.8649,upper,48,49
se,3,38,50,-10.0,2.0,0.8492,upper,48,49
se,4,55,49,7.0,1.0,0.8195,upper,48,49
se,5,60,34,12.0,-14.0,0.7768,upper,48,49
se,6,37,24,-11.0,-24.0,0.7556,upper,48,49
e,1,62,32,14.0,-16.0,1.0000,upper,81,89
e,2,36,41,-12.0,-7.0,0.8203,upper,81,89
e,3,53,16,5.0,-32.0,0.7766,upper,81,89
e,4,38,30,-10.0,-18.0,0.7738,upper,81,89
e,5,63,46,15.0,-2.0,0.7155,upper,81,89
e,6,38,49,-10.0,1.0,0.7114,upper,81,89
ne,1,36,34,-12.0,-14.0,1.0000,upper,43,43
ne,2,57,32,9.0,-16.0,0.9822,upper,43,43
ne,3,56,23,8.0,-25.0,0.8159,upper,43,43
ne,4,50,17,2.0,-31.0,0.7441,upper,43,43
ne,5,65,40,17.0,-8.0,0.7101,upper,43,43
ne,6,32,41,-16.0,-7.0,0.6958,upper,43,43
n,1,37,33,-11.0,-15.0,1.0000,upper,46,48
n,2,57,32,9.0,-16.0,0.7495,upper,46,48
n,3,40,22,-8.0,-26.0,0.7325,upper,46,48
n,4,63,38,15.0,-10.0,0.6784,upper,46,48
n,5,63,46,15.0,-2.0,0.5863,upper,46,48
n,6,56,24,8.0,-24.0,0.5579,upper,46,48
nw,1,36,34,-12.0,-14.0,1.0000,upper,43,43
nw,2,59,34,11.0,-14.0,0.9058,upper,43,43
nw,3,45,18,-3.0,-30.0,0.8543,upper,43,43
nw,4,63,41,15.0,-7.0,0.7467,upper,43,43
nw,5,30,40,-18.0,-8.0,0.7437,upper,43,43
nw,6,40,25,-8.0,-23.0,0.7119,upper,43,43
w,1,35,31,-13.0,-17.0,1.0000,upper,82,90
w,2,57,29,9.0,-19.0,0.8660,upper,82,90
w,3,59,43,11.0,-5.0,0.8348,upper,82,90
w,4,40,49,-8.0,1.0,0.7155,upper,82,90
w,5,32,46,-16.0,-2.0,0.7116,upper,82,90
w,6,43,16,-5.0,-32.0,0.7019,upper,82,90
sw,1,40,47,-8.0,-1.0,1.0000,upper,48,49
sw,2,57,50,9.0,2.0,0.9370,upper,48,49
sw,3,60,32,12.0,-16.0,0.9348,upper,48,49
sw,4,47,51,-1.0,3.0,0.9029,upper,48,49
sw,5,63,41,15.0,-7.0,0.8733,upper,48,49
sw,6,37,29,-11.0,-19.0,0.8532,upper,48,49
